date,region,course,off,race_name,type,class,pattern,rating_band,age_band,sex_rest,dist,dist_f,dist_m,going,ran,num,pos,draw,ovr_btn,btn,horse,age,sex,lbs,hg,time,secs,dec,jockey,trainer,prize,or,rpr,sire,dam,damsire,owner,comment
2023-05-30,GB,Lingfield,8:45,Follow @attheraces On Twitter Handicap,Flat,Class 6,,0-60,4yo+,,6f,6f,1207,Good To Firm,8,4,6,6,3.5,0.3,Areille (IRE),4,F,133,,1:11.75,71.75,5.50,Sean Levey,Jack Jones,,58,55,The Last Lion (IRE),Likewise (IRE),Bushranger,Private Equineity,In touch with leaders - headway over 2f out - ridden and briefly led over 1f out - headed 1f out - weakened inside final furlong(op 5/1 tchd 4/1)
2023-05-30,GB,Lingfield,8:45,Follow @attheraces On Twitter Handicap,Flat,Class 6,,0-60,4yo+,,6f,6f,1207,Good To Firm,8,1,7,1,4.5,1,First Company (IRE),5,G,134,,1:11.95,71.95,5.00,Billy Loughnane,Mark Loughnane,,62,56,Fast Company (IRE),Pira Palace (IRE),Acclamation,Northern Marking Ltd,Midfield - headway over 2f out - hung left and ridden over 1f out - weakened inside final furlong (jockey said gelding hung left-handed)(op 10/3)
2023-05-30,GB,Lingfield,8:45,Follow @attheraces On Twitter Handicap,Flat,Class 6,,0-60,4yo+,,6f,6f,1207,Good To Firm,8,6,8,4,9.5,5,Raphel Jake (GB),5,G,127,,1:12.95,72.95,23.00,Rhys Clutterbuck,Rachel Cook & John Bridger,,52,30,Charm Spirit (IRE),Portrait GB,Peintre Celebre,J J Bridger,In rear - pushed along and no impression from over 2f out(op 18/1)
2023-05-30,GB,Lingfield,5:40,At The Races App Market Movers Handicap,Flat,Class 6,,0-65,3yo,,1m2f,10f,2012,Good To Firm,12,7,1,10,0,0,Shazam (IRE),3,F,132,,2:6.91,126.91,8.50,Sean Levey,Kevin Philippart De Foy,3245.08,62,75,Almanzor (FR),Shalanaya (IRE),Lomitas,The Bumblebees Partners,In touch with leaders - headway from over 2f out - pushed along to lead over 1f out - pushed out inside final furlong - eased towards finish - comfortably (trainer said - regarding the apparent improvement in form - that filly was having her second run for the yard on today's handicap debut and had appreciated the quicker surface along with the step up in trip to 1m 2f from 1m)(op 6/1 tchd 11/2)
2023-05-30,GB,Lingfield,5:40,At The Races App Market Movers Handicap,Flat,Class 6,,0-65,3yo,,1m2f,10f,2012,Good To Firm,12,5,2,8,1.25,1.25,Denis Anthony (IRE),3,G,133,,2:7.16,127.16,4.00,Rowan Scott,James Fanshawe,1522.72,63,72,Australia (GB),Dolce Strega (IRE),Zoffany,Sir William David Russell,Midfield - headway over 3f out - pushed along to lead over 2f out - ridden and headed over 1f out - kept on inside final furlong(op 5/2)
2023-05-30,GB,Lingfield,5:40,At The Races App Market Movers Handicap,Flat,Class 6,,0-65,3yo,,1m2f,10f,2012,Good To Firm,12,6,3,6,2,.75,Kamanika (IRE),3,F,133,,2:7.31,127.31,3.75,James Doyle,Joseph Parr,760.74,63,70,Roaring Lion (USA),Raddeh GB,Shamardal,Trevor And Ruth Milner,Midfield - pushed along and headway from 2f out - ridden and stayed on inside final furlong(op 9/2)
2023-05-30,GB,Lingfield,5:40,At The Races App Market Movers Handicap,Flat,Class 6,,0-65,3yo,,1m2f,10f,2012,Good To Firm,12,4,4,3,5,3,Afloat (GB),3,F,135,h,2:7.91,127.91,9.50,Callum Shepherd,Rae Guest,380.68,65,66,Sea The Moon (GER),Planete Bleue (IRE),Dansili,J Mitchell,Prominent - headway over 2f out - ridden and weakened over 1f out(op 9/1)
2023-05-30,GB,Lingfield,5:40,At The Races App Market Movers Handicap,Flat,Class 6,,0-65,3yo,,1m2f,10f,2012,Good To Firm,12,2,5,4,6,1,Royal Dream (GB),3,G,135,t,2:8.11,128.11,7.00,Saffie Osborne,Ed Dunlop,189.72,65,64,Muhaarar (GB),Royale Danehill (IRE),Danehill,La Grange Partnership,Midfield - pushed along over 2f out - ridden and hung left over 1f out - stayed on inside final furlong(op 13/2)
2023-05-30,GB,Lingfield,5:40,At The Races App Market Movers Handicap,Flat,Class 6,,0-65,3yo,,1m2f,10f,2012,Good To Firm,12,9,6,7,8,2,Lady Bryanston (IRE),3,F,131,,2:8.51,128.51,17.00,Finley Marsh,Richard Hughes,,61,56,Ulysses (IRE),Piano GB,Azamour,The Heffer Syndicate,Slowly away - towards rear - pushed along over 2f out - ridden and headway over 1f out - weakened inside final furlong(op 14/1)
2023-05-30,GB,Lingfield,5:40,At The Races App Market Movers Handicap,Flat,Class 6,,0-65,3yo,,1m2f,10f,2012,Good To Firm,12,12,7,5,8.5,.5,Lady Clemmie (GB),3,F,125,b,2:8.61,128.61,34.00,Georgia Dobie,Julia Feilden,,58,52,Churchill (IRE),Joquina (IRE),Big Bad Bob,Chris Cleevely Partners,Led - pushed along and headed over 2f out - ridden and weakened over 1f out(tchd 40/1)
2023-05-30,GB,Lingfield,5:40,At The Races App Market Movers Handicap,Flat,Class 6,,0-65,3yo,,1m2f,10f,2012,Good To Firm,12,8,8,1,9,.5,Smooth Ryder (IRE),3,G,131,,2:8.71,128.71,19.00,Franny Norton,Charlie Johnston,,61,54,Smooth Daddy (USA),Silesie (USA),Magician,Christopher W T Johnston,In touch with leaders - pushed along over 2f out - hung left and weakened over 1f out(op 14/1)
2023-05-30,GB,Lingfield,5:40,At The Races App Market Movers Handicap,Flat,Class 6,,0-65,3yo,,1m2f,10f,2012,Good To Firm,12,11,9,11,14.5,5.5,Ectocross (FR),3,C,129,,2:9.81,129.81,10.00,Cieren Fallon,Simon Dow,,59,41,Ectot (GB),Seasonal Cross GB,Cape Cross,Malcolm Alicia Aldis,Towards rear - pushed along and no impression from over 2f out(op 12/1)
2023-05-30,GB,Lingfield,5:40,At The Races App Market Movers Handicap,Flat,Class 6,,0-65,3yo,,1m2f,10f,2012,Good To Firm,12,1,10,2,15,.5,Bear Force (IRE),3,G,136,,2:9.91,129.91,21.00,Hector Crouch,Jonathan Portman,,66,47,Kodi Bear (IRE),Dew (IRE),Whipper,Berkeley Racing,Midfield - pushed along and headway from over 2f out - weakened over 1f out(op 18/1 tchd 22/1)
2023-05-30,GB,Lingfield,5:40,At The Races App Market Movers Handicap,Flat,Class 6,,0-65,3yo,,1m2f,10f,2012,Good To Firm,12,3,11,9,15.25,0.3,Deshi Girl (USA),3,F,132,,2:9.96,129.96,26.00,Billy Loughnane,Marco Botti,,65,45,Union Rags (USA),Hidden Treat (USA),Lemon Drop Kid,Sheikh Mohammed Bin Khalifa Al Maktoum,Always behind(op 18/1)
2023-05-30,GB,Lingfield,5:40,At The Races App Market Movers Handicap,Flat,Class 6,,0-65,3yo,,1m2f,10f,2012,Good To Firm,12,10,12,12,15.75,.5,Corporate Raider (IRE),3,G,127,,2:10.06,130.06,26.00,George Bass,Julia Feilden,,60,39,Profitable (IRE),Zenella GB,Kyllachy,Newmarket Equine Tours Racing Club,Always behind(op 22/1 tchd 20/1)
2023-06-01,GB,Lingfield,5:12,bet365 Handicap,Flat,Class 5,,0-70,4yo+,,2m½f,16.5f,3281,Good To Firm,8,8,1,2,0,0,Easy Equation (FR),5,G,114,p,3:32.26,212.26,13.00,Aidan Keeley,J S Moore,4082.52,54,64,Rajsaman (FR),Simple Solution (USA),Dynaformer,Roy Humphrey J S Moore,Prominent - dropped to rear after 4f - shaken up 3f out - ridden and stayed on from over 1f out - pushed out and led towards finish
2023-06-01,GB,Lingfield,5:12,bet365 Handicap,Flat,Class 5,,0-70,4yo+,,2m½f,16.5f,3281,Good To Firm,8,4,2,7,.5,.5,Russian Rumour (IRE),6,M,134,p,3:32.36,212.36,6.00,Rob Hornby,Jonathan Portman,1915.68,69,77,Make Believe (GB),Russian Rave GB,Danehill Dancer,Fillies First,In touch with leaders - raced in second after 2f - led 5f out - pushed along over 2f out - ridden and headed over 1f out - kept on and went second again final stride
